//Enregistrements de dessins et modèles industriels par office,
"//par résident direct, non-résident direct et système de la Haye",
//Source : base de données statistiques de l’OMPI, décembre 2011
//Note: Des données peuvent manquer pour certains offices ou pour certaines années.,

Année,Nom'Office,Code'Office,Type'enregistrant,Nombre'enregistrements
1906,"Allemagne","DE","Directs_globaux",213304
1906,"Hongrie","HU","Directs_globaux",2051
1906,"Italie","IT","Directs_globaux",105
1906,"Japon","JP","Directs_globaux",666
1906,"Mexique","MX","Directs_globaux",27
1906,"Nouvelle-Zélande","NZ","Directs_globaux",36
1906,"Portugal","PT","Directs_globaux",10
1906,"Espagne","ES","Directs_globaux",99
1906,"Suède","SE","Directs_globaux",19
1906,"Suisse","CH","Résident_direct",244082
1906,"Suisse","CH","NonRésident_direct",1724
1906,"Royaume-Uni","GB","Directs_globaux",21212
1906,"États-Unis d'Amérique","US","Directs_globaux",620
1907,"Australie","AU","Directs_globaux",91
1907,"Autriche","AT","Directs_globaux",13012
1907,"Belgique","BE","Directs_globaux",241
1907,"Canada","CA","Directs_globaux",125
1907,"Danemark","DK","Directs_globaux",332
1907,"France","FR","Directs_globaux",56238
1907,"Allemagne","DE","Directs_globaux",220874
1907,"Hongrie","HU","Directs_globaux",1445
1907,"Italie","IT","Directs_globaux",107
1907,"Japon","JP","Directs_globaux",677
1907,"Mexique","MX","Directs_globaux",55
1907,"Nouvelle-Zélande","NZ","Directs_globaux",57
1907,"Portugal","PT","Directs_globaux",27
1907,"Espagne","ES","Directs_globaux",93
1907,"Suède","SE","Directs_globaux",19
1907,"Suisse","CH","Directs_globaux",272732
1907,"Royaume-Uni","GB","Directs_globaux",24039
1907,"États-Unis d'Amérique","US","Directs_globaux",589
1908,"Australie","AU","Directs_globaux",184
1908,"Autriche","AT","Directs_globaux",11980
1908,"Belgique","BE","Directs_globaux",303
1908,"Canada","CA","Directs_globaux",182
1908,"Danemark","DK","Directs_globaux",397
1908,"France","FR","Résident_direct",54754
1908,"France","FR","NonRésident_direct",3729
1908,"Allemagne","DE","Directs_globaux",217750
1908,"Hongrie","HU","Directs_globaux",12116
1908,"Italie","IT","Directs_globaux",91
1908,"Japon","JP","Directs_globaux",628
1908,"Mexique","MX","Directs_globaux",39
1908,"Nouvelle-Zélande","NZ","Directs_globaux",79
1908,"Portugal","PT","Directs_globaux",14
1908,"Espagne","ES","Directs_globaux",104
1908,"Suède","SE","Directs_globaux",38
1908,"Suisse","CH","Résident_direct",303843
1908,"Suisse","CH","NonRésident_direct",1717
1908,"Royaume-Uni","GB","Directs_globaux",24389
1908,"États-Unis d'Amérique","US","Directs_globaux",755
1909,"Australie","AU","Directs_globaux",166
1909,"Autriche","AT","Directs_globaux",12241
1909,"Belgique","BE","Directs_globaux",316
1909,"Canada","CA","Directs_globaux",162
1909,"Cuba","CU","Directs_globaux",1
1909,"Danemark","DK","Directs_globaux",493
1909,"France","FR","Résident_direct",59267
1909,"France","FR","NonRésident_direct",5901
1909,"Allemagne","DE","Directs_globaux",221991
1909,"Hongrie","HU","Directs_globaux",1536
1909,"Italie","IT","Directs_globaux",85
1909,"Japon","JP","Directs_globaux",563
1909,"Mexique","MX","Directs_globaux",72
1909,"Nouvelle-Zélande","NZ","Directs_globaux",51
1909,"Portugal","PT","Directs_globaux",11
1909,"Espagne","ES","Directs_globaux",95
1909,"Suède","SE","Directs_globaux",20
1909,"Suisse","CH","Résident_direct",320107
1909,"Suisse","CH","NonRésident_direct",1887
1909,"Royaume-Uni","GB","Directs_globaux",25754
1909,"États-Unis d'Amérique","US","Directs_globaux",679
1910,"Australie","AU","Directs_globaux",163
1910,"Autriche","AT","Directs_globaux",12451
1910,"Belgique","BE","Directs_globaux",340
1910,"Canada","CA","Directs_globaux",143
1910,"Danemark","DK","Directs_globaux",648
1910,"France","FR","Directs_globaux",52609
