//Solicitudes de registro de diseños industriales por oficina,
"//por directamente por residentes, directamente por no residentes y sistema de La Haya",
//Fuente:  Base de datos de estadísticas de la OMPI, diciembre 2011
//Nota: Es probable que falten datos relativos a algunas oficinas o respecto de ciertos períodos.,

Año,Nombre'Oficina,Código'Oficina,Tipo de solicitante,Número de solicitudes
1910,"Estados Unidos de América","US","Directamente total",1155
1911,"Australia","AU","Directamente total",203
1911,"Austria","AT","Directamente total",12432
1911,"Bélgica","BE","Directamente total",363
1911,"Cuba","CU","Directamente total",20
1911,"Dinamarca","DK","Directamente total",573
1911,"Francia","FR","Directamente_residentes",52002
1911,"Francia","FR","Directamente_NOresidentes",1852
1911,"Alemania","DE","Directamente total",193861
1911,"Hungría","HU","Directamente total",926
1911,"Italia","IT","Directamente total",163
1911,"Japón","JP","Directamente total",2254
1911,"México","MX","Directamente total",69
1911,"Nueva Zelandia","NZ","Directamente total",21
1911,"Noruega","NO","Directamente total",317
1911,"Portugal","PT","Directamente total",36
1911,"España","ES","Directamente total",381
1911,"Suecia","SE","Directamente total",36
1911,"Suiza","CH","Directamente total",341597
1911,"Túnez","TN","Directamente total",28
1911,"Reino Unido","GB","Directamente total",43057
1911,"Estados Unidos de América","US","Directamente total",1534
1912,"Australia","AU","Directamente total",245
1912,"Austria","AT","Directamente total",12638
1912,"Bélgica","BE","Directamente total",404
1912,"Dinamarca","DK","Directamente total",888
1912,"Francia","FR","Directamente_residentes",53317
1912,"Francia","FR","Directamente_NOresidentes",2567
1912,"Alemania","DE","Directamente total",174966
1912,"Hungría","HU","Directamente total",12896
1912,"Italia","IT","Directamente total",208
1912,"Japón","JP","Directamente total",2420
1912,"México","MX","Directamente total",26
1912,"Nueva Zelandia","NZ","Directamente total",44
1912,"Noruega","NO","Directamente total",230
1912,"Portugal","PT","Directamente total",30
1912,"España","ES","Directamente total",171
1912,"Suecia","SE","Directamente total",34
1912,"Suiza","CH","Directamente total",342586
