//Registros de diseños industriales por oficina,
"//por directamente por residentes, directamente por no residentes y sistema de La Haya",
//Fuente:  Base de datos de estadísticas de la OMPI, diciembre 2011
//Nota: Es probable que falten datos relativos a algunas oficinas o respecto de ciertos períodos.,

Año,Nombre'Oficina,Código'Oficina,Tipo'solicitante,Número de registros
1919,"Alemania","DE","Directamente total",16195
1919,"Hungría","HU","Directamente total",102
1919,"Italia","IT","Directamente_residentes",71
1919,"Italia","IT","Directamente_NOresidentes",13
1919,"Japón","JP","Directamente total",1421
1919,"México","MX","Directamente total",49
1919,"Marruecos","MA","Directamente total",3
1919,"Noruega","NO","Directamente total",279
1919,"Portugal","PT","Directamente total",30
1919,"España","ES","Directamente total",199
1919,"Suecia","SE","Directamente total",28
1919,"Suiza","CH","Directamente_residentes",181444
1919,"Suiza","CH","Directamente_NOresidentes",135
1919,"Túnez","TN","Directamente total",3
1919,"Reino Unido","GB","Directamente total",13049
1919,"Estados Unidos de América","US","Directamente total",1521
1920,"Australia","AU","Directamente total",233
1920,"Austria","AT","Directamente total",2130
1920,"Bélgica","BE","Directamente total",349
1920,"Canadá","CA","Directamente total",186
1920,"Checoslovaquia","CS","Directamente total",1519
1920,"Dinamarca","DK","Directamente total",729
1920,"Francia","FR","Directamente total",2208
1920,"Alemania","DE","Directamente total",24975
1920,"Hungría","HU","Directamente total",448
1920,"Italia","IT","Directamente_residentes",130
1920,"Italia","IT","Directamente_NOresidentes",26
1920,"Japón","JP","Directamente total",1307
1920,"México","MX","Directamente total",62
1920,"Marruecos","MA","Directamente total",3
1920,"Noruega","NO","Directamente total",324
1920,"Portugal","PT","Directamente total",24
1920,"España","ES","Directamente total",168
1920,"Suecia","SE","Directamente total",57
1920,"Suiza","CH","Directamente_residentes",252705
1920,"Suiza","CH","Directamente_NOresidentes",109
1920,"Túnez","TN","Directamente total",7
1920,"Reino Unido","GB","Directamente total",13071
1920,"Estados Unidos de América","US","Directamente total",2481
1921,"Australia","AU","Directamente total",300
1921,"Austria","AT","Directamente total",2680
1921,"Bélgica","BE","Directamente total",351
1921,"Canadá","CA","Directamente total",259
1921,"Checoslovaquia","CS","Directamente total",2149
1921,"Dinamarca","DK","Directamente total",865
1921,"Francia","FR","Directamente total",4758
1921,"Alemania","DE","Directamente total",38310
1921,"Hungría","HU","Directamente total",336
1921,"Italia","IT","Directamente_residentes",159
1921,"Italia","IT","Directamente_NOresidentes",31
1921,"Japón","JP","Directamente total",1437
1921,"México","MX","Directamente total",61
1921,"Marruecos","MA","Directamente total",2
1921,"Nueva Zelandia","NZ","Directamente total",135
1921,"Noruega","NO","Directamente total",267
1921,"Polonia","PL","Directamente total",310
1921,"Portugal","PT","Directamente total",85
1921,"España","ES","Directamente total",234
1921,"Suecia","SE","Directamente total",36
1921,"Suiza","CH","Directamente_residentes",143217
1921,"Suiza","CH","Directamente_NOresidentes",1626
1921,"Túnez","TN","Directamente total",19
1921,"Reino Unido","GB","Directamente total",12313
1921,"Estados Unidos de América","US","Directamente total",3265
1922,"Australia","AU","Directamente total",380
